[2019-11-05:07:59:29]	 (  LOWER(id) LIKE '%20191345%'  OR  LOWER(adresse_rue) LIKE '%20191345%'  OR  LOWER(adresse_numero) LIKE '%20191345%'  OR  LOWER(adresse_ville) LIKE '%20191345%'  OR  LOWER(lastname) LIKE '%20191345%'  OR  LOWER(firstname) LIKE '%20191345%'  OR  LOWER(city) LIKE '%20191345%'  OR  LOWER(email) LIKE '%20191345%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191345%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191345%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191345%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191345%'  OR  LOWER(facture_prenom) LIKE '%20191345%'  OR  LOWER(facture_societe_tva) LIKE '%20191345%'  OR  LOWER(facture_city) LIKE '%20191345%'  OR  LOWER(facture_country) LIKE '%20191345%'  OR  LOWER(facture_email) LIKE '%20191345%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191345%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191345%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191345%'  OR  LOWER(numero_facture) LIKE '%20191345%'  OR  LOWER(statut) LIKE '%20191345%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191345%' ) OR  LOWER(delai_autre) LIKE '%20191345%'  OR  LOWER(reference) LIKE '%20191345%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191345%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191345%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:07:59:36]	commande_id = '20228' AND commande_id = '20228' AND  migcms_deleted != 'y' 
[2019-11-05:08:00:20]	validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:03:20]	commande_id = '22613' AND commande_id = '22613' AND  migcms_deleted != 'y' 
[2019-11-05:08:03:35]	commande_id = '22613' AND commande_id = '22613' AND  migcms_deleted != 'y' 
[2019-11-05:08:03:39]	validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:03:53]	validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:24:35]	 (  LOWER(id) LIKE '%20181517%'  OR  LOWER(adresse_rue) LIKE '%20181517%'  OR  LOWER(adresse_numero) LIKE '%20181517%'  OR  LOWER(adresse_ville) LIKE '%20181517%'  OR  LOWER(lastname) LIKE '%20181517%'  OR  LOWER(firstname) LIKE '%20181517%'  OR  LOWER(city) LIKE '%20181517%'  OR  LOWER(email) LIKE '%20181517%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20181517%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20181517%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20181517%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20181517%'  OR  LOWER(facture_prenom) LIKE '%20181517%'  OR  LOWER(facture_societe_tva) LIKE '%20181517%'  OR  LOWER(facture_city) LIKE '%20181517%'  OR  LOWER(facture_country) LIKE '%20181517%'  OR  LOWER(facture_email) LIKE '%20181517%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20181517%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20181517%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20181517%'  OR  LOWER(numero_facture) LIKE '%20181517%'  OR  LOWER(statut) LIKE '%20181517%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20181517%' ) OR  LOWER(delai_autre) LIKE '%20181517%'  OR  LOWER(reference) LIKE '%20181517%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20181517%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20181517%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:24:40]	id_facture='15115' AND id_facture='15115' AND  migcms_deleted != 'y' 
[2019-11-05:08:24:47]	id_facture='15115' AND id_facture='15115' AND  migcms_deleted != 'y' 
[2019-11-05:08:25:05]	 (  LOWER(id) LIKE '%20191194%'  OR  LOWER(adresse_rue) LIKE '%20191194%'  OR  LOWER(adresse_numero) LIKE '%20191194%'  OR  LOWER(adresse_ville) LIKE '%20191194%'  OR  LOWER(lastname) LIKE '%20191194%'  OR  LOWER(firstname) LIKE '%20191194%'  OR  LOWER(city) LIKE '%20191194%'  OR  LOWER(email) LIKE '%20191194%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191194%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191194%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191194%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191194%'  OR  LOWER(facture_prenom) LIKE '%20191194%'  OR  LOWER(facture_societe_tva) LIKE '%20191194%'  OR  LOWER(facture_city) LIKE '%20191194%'  OR  LOWER(facture_country) LIKE '%20191194%'  OR  LOWER(facture_email) LIKE '%20191194%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191194%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191194%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191194%'  OR  LOWER(numero_facture) LIKE '%20191194%'  OR  LOWER(statut) LIKE '%20191194%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191194%' ) OR  LOWER(delai_autre) LIKE '%20191194%'  OR  LOWER(reference) LIKE '%20191194%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191194%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191194%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
